Date,Score,Fitted Score
2016-11-22,11289979,11289979
2016-11-23,11422295,11401289
2016-11-24,11428000,11512599
2016-11-25,11564153,11623909
2016-11-26,11652241,11735219
2016-11-27,11841079,11846529
2016-11-28,12069151,11957839
